SYNMAP,life.form,leaf.type,leaf.longevity,LCCS_Code1,LCCS_Code2
1,Trees,Needle,Evergreen,71,
2,Trees,Needle,Deciduous,81,
3,Trees,Needle,Mixed,71,81
4,Trees,Broad,Evergreen,50,
5,Trees,Broad,Deciduous,60,
6,Trees,Broad,Mixed,60,50
7,Trees,Mixed,Evergreen,90,
8,Trees,Mixed,Deciduous,90,
9,Trees,Mixed,Mixed,90,
10,Trees_Shrubs,Needle,Evergreen,72,
11,Trees_Shrubs,Needle,Deciduous,82,
12,Trees_Shrubs,Needle,Mixed,72,82
13,Trees_Shrubs,Broad,Evergreen,62,
14,Trees_Shrubs,Broad,Deciduous,62,
15,Trees_Shrubs,Broad,Mixed,62,
16,Trees_Shrubs,Mixed,Evergreen,72,
17,Trees_Shrubs,Mixed,Deciduous,62,
18,Trees_Shrubs,Mixed,Mixed,72,62
19,Trees_Grasses,Needle,Evergreen,72,
20,Trees_Grasses,Needle,Deciduous,82,
21,Trees_Grasses,Needle,Mixed,72,82
22,Trees_Grasses,Broad,Evergreen,62,
23,Trees_Grasses,Broad,Deciduous,62,
24,Trees_Grasses,Broad,Mixed,62,
25,Trees_Grasses,Mixed,Evergreen,72,
26,Trees_Grasses,Mixed,Deciduous,62,
27,Trees_Grasses,Mixed,Mixed,72,62
28,Trees_Crops,Needle,Evergreen,72,
29,Trees_Crops,Needle,Deciduous,82,
30,Trees_Crops,Needle,Mixed,72,82
31,Trees_Crops,Broad,Evergreen,62,
32,Trees_Crops,Broad,Deciduous,62,
33,Trees_Crops,Broad,Mixed,62,
34,Trees_Crops,Mixed,Evergreen,72,
35,Trees_Crops,Mixed,Deciduous,62,
36,Trees_Crops,Mixed,Mixed,72,62
37,Shrubs,-,-,120,
38,Shrubs_Grasses,-,-,12,
39,Shrubs_Crops,-,-,12,
40,Shrubs_Barren,-,-,152,
41,Grasses,-,-,130,
42,Grasses_Crops,-,-,11,
43,Grasses_Barren,-,-,153,
44,Crops,-,-,130,
